SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Route | EAD_RTE_ATS1_FZ-FZ | designator | ATS1 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS13_FZ-FZ | designator | ATS13 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS17_FZ-FZ | designator | ATS17 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS2_FZ-FZ | designator | ATS2 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS21_FZ-FZ | designator | ATS21 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS22_FZ-FZ | designator | ATS22 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS23_FZ-FZ | designator | ATS23 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS24_FZ-FZ | designator | ATS24 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS25_FZ-FZ | designator | ATS25 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS26_FZ-FZ | designator | ATS26 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS27_FZ-FZ | designator | ATS27 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS28_FZ-FZ | designator | ATS28 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS29_FZ-FZ | designator | ATS29 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS30_FZ-FZ | designator | ATS30 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS31_FZ-FZ | designator | ATS31 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS32_FZ-FZ | designator | ATS32 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_ATS9_FZ-FZ | designator | ATS9 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_GYA01_ZG-ZG | designator | GYA01 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_GYA03_ZG-ZG | designator | GYA03 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_LFR10_EHAA | designator | LFR10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_O11_LL-LL | designator | O11 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_OTR1_RJ-RJ | designator | OTR1 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_OTR10_RJ-RJ | designator | OTR10 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_OTR11_RJ-RJ | designator | OTR11 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_OTR13_RJ-RJ | designator | OTR13 | desene_uymayan_kod_name_alanina_yazildi
WARNING | Route | EAD_RTE_OTR15_RJ-RJ | designator | OTR15 | desene_uymayan_kod_name_alanina_yazildi
