SEVERITY | FEATURE | ID | FIELD | VALUE | VIOLATION
WARNING | Navaid | MEN | designator | MEN | kaynakta_tanimsiz_navaid_stub_uretildi
WARNING | DesignatedPoint(VFR) | LT_VRP_HOSKOY | name | HOŞKÖY -> HOSKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_SARKOY | name | ŞARKÖY -> SARKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_LAPSEKI | name | LAPSEKİ -> LAPSEKI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_UZUNKOPRU | name | UZUNKÖPRÜ -> UZUNKOPRU | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KIRKLARELI | name | KIRKLARELİ -> KIRKLARELI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_HAMITABAT | name | HAMİTABAT -> HAMITABAT | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_PINARHISAR | name | PINARHİSAR -> PINARHISAR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_VIZE | name | VİZE -> VIZE | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_YENICE_2 | name | YENİCE -> YENICE | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_IGNEADA | name | İĞNEADA -> IGNEADA | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KIYIKOY | name | KIYIKÖY -> KIYIKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_YALIKOY | name | YALIKÖY -> YALIKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_CERKEZKOY | name | ÇERKEZKÖY -> CERKEZKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_PINARBASI_2 | name | PINARBAŞI -> PINARBASI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_BIGA_2 | name | BİGA -> BIGA | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_CAVUSLAR | name | ÇAVUŞLAR -> CAVUSLAR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_ATIKHISAR | name | ATİKHİSAR -> ATIKHISAR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KUCUKKUYU | name | KÜÇÜKKUYU -> KUCUKKUYU | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_EZINE | name | EZİNE -> EZINE | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_HISARKOY | name | HİSARKÖY -> HISARKOY | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_DIKILI | name | DİKİLİ -> DIKILI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_AKCAPINAR | name | AKÇAPINAR -> AKCAPINAR | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_SIVRICE | name | SİVRİCE -> SIVRICE | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_SAHIL_2 | name | SAHİL -> SAHIL | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_GOKCEALI | name | GÖKÇEALİ -> GOKCEALI | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_INCEGIZ | name | İNCEĞİZ -> INCEGIZ | ascii_ye_cevrildi
WARNING | DesignatedPoint(VFR) | LT_VRP_DARULACEZE | name | DARÜLACEZE -> DARULACEZE | ascii_ye_cevrildi
WARNING | Navaid | AYR | designator | AYR | kaynakta_tanimsiz_navaid_stub_uretildi
WARNING | DesignatedPoint(VFR) | LT_VRP_KARAOZ | name | KARAÖZ -> KARAOZ | ascii_ye_cevrildi
