DME channel number,VHF frequency MHz,MLS angle frequency MHz,MLS channel number,Interrogation Frequency MHz,DME/N,Initial approach,Final approach,Reply Frequency MHz,Pulse codes,GP Frequency MHz,LOC Sequence Number
1X,,,,1025,12,,,962,12,,
1Y,,,,1025,36,,,1088,30,,
2X,,,,1026,12,,,963,12,,
2Y,,,,1026,36,,,1089,30,,
3X,,,,1027,12,,,964,12,,
3Y,,,,1027,36,,,1090,30,,
4X,,,,1028,12,,,965,12,,
4Y,,,,1028,36,,,1091,30,,
5X,,,,1029,12,,,966,12,,
5Y,,,,1029,36,,,1092,30,,
6X,,,,1030,12,,,967,12,,
6Y,,,,1030,36,,,1093,30,,
7X,,,,1031,12,,,968,12,,
7Y,,,,1031,36,,,1094,30,,
8X,,,,1032,12,,,969,12,,
8Y,,,,1032,36,,,1095,30,,
9X,,,,1033,12,,,970,12,,
9Y,,,,1033,36,,,1096,30,,
10X,,,,1034,12,,,971,12,,
10Y,,,,1034,36,,,1097,30,,
11X,,,,1035,12,,,972,12,,
11Y,,,,1035,36,,,1098,30,,
12X,,,,1036,12,,,973,12,,
12Y,,,,1036,36,,,1099,30,,
13X,,,,1037,12,,,974,12,,
13Y,,,,1037,36,,,1100,30,,
14X,,,,1038,12,,,975,12,,
14Y,,,,1038,36,,,1101,30,,
15X,,,,1039,12,,,976,12,,
15Y,,,,1039,36,,,1102,30,,
16X,,,,1040,12,,,977,12,,
16Y,,,,1040,36,,,1103,30,,
17X,108.00,,,1041,12,,,978,12,,
17Y,108.05,5043.0,540,1041,36,36,42,1104,30,,
17Z,,5043.3,541,1041,,21,27,1104,15,,
18X,108.10,5031.0,500,1042,12,12,18,979,12,334.70,11
18W,,5031.3,501,1042,,24,30,979,24,,
18Y,108.15,5043.6,542,1042,36,36,42,1105,30,334.55,
18Z,,5043.9,543,1042,,21,27,1105,15,,
19X,108.20,,,1043,12,,,980,12,,
19Y,108.25,5044.2,544,1043,36,36,42,1106,30,,
19Z,,5044.5,545,1043,,21,27,1106,15,,
20X,108.30,5031.6,502,1044,12,12,18,981,12,334.10,12
20W,,5031.9,503,1044,,24,30,981,24,,
20Y,108.35,5044.8,546,1044,36,36,42,1107,30,333.95,
20Z,,5045.1,547,1044,,21,27,1107,15,,
21X,108.40,,,1045,12,,,982,12,,
21Y,108.45,5045.4,548,1045,36,36,42,1108,30,,
21Z,,5045.7,549,1045,,21,27,1108,15,,
22X,108.50,5032.2,504,1046,12,12,18,983,12,329.90,13
22W,,5032.5,505,1046,,24,30,983,24,,
22Y,108.55,5046.0,550,1046,36,36,42,1109,30,329.75,
22Z,,5046.3,551,1046,,21,27,1109,15,,
