code_id,data_originator,adet,farkli_koordinat,tablolar,isimler
RW12,NAV CANADA,49,49,dp_adhp,RW12
RW08,NAV CANADA,48,48,dp_adhp,RW08
RW30,NAV CANADA,48,48,dp_adhp,RW30
RW26,NAV CANADA,47,47,dp_adhp,RW26
RW13,NAV CANADA,46,46,dp_adhp,"RW13,RW12"
RW31,NAV CANADA,46,46,dp_adhp,"RW31,RW13"
RW09,NAV CANADA,41,41,dp_adhp,RW09
RW10,NAV CANADA,41,41,dp_adhp,RW10
RW27,NAV CANADA,40,40,dp_adhp,"RW27,RW26"
RW28,NAV CANADA,40,40,dp_adhp,RW28
RW06,NAV CANADA,39,39,dp_adhp,"RW06,RW06R"
N,DFS DEUTSCHE FLUGSICHERUNG GMBH,38,38,dp_other,"EDAH NOVEMBER,EDDC NOVEMBER,EDDE NOVEMBER 1,EDDE NOVEMBER 2,EDDF NOVEMBER,EDDG NOVEMBER 1,EDDG NOVEMBER 2,EDDH NOVEMBER 1,EDDH NOVEMBER 2,EDDK NOVEMBER 1,EDDL NOVEMBER,EDDN NOVEMBER,EDDP NOVEMBER 1,EDDR NOVEMBER 1,EDDR NOVEMBER 2,EDDV NOVEMBER 1,EDDV NOVEMBER 2,EDDW NOVEMBER,EDFH NOVEMBER,EDHL NOVEMBER,EDJA NOVEMBER 1,EDJA NOVEMBER 2,EDLP NOVEMBER,EDLV NOVEMBER,EDLW NOVEMBER,EDMA NOVEMBER 1,EDMA NOVEMBER 2,EDNY NOVEMBER,EDQM NOVEMBER,EDSB NOVEMBER,EDVE NOVEMBER 1,EDVE NOVEMBER 2,EDVK NOVEMBER 1,EDVK NOVEMBER 2,EDXW NOVEMBER,EDDP NOVEMBER 2,EDDB NOVEMBER,EDDK NOVEMBER 2"
RW24,NAV CANADA,38,38,dp_adhp,RW24
RW25,NAV CANADA,37,37,dp_adhp,RW25
RW07,NAV CANADA,36,36,dp_adhp,RW07
S,DFS DEUTSCHE FLUGSICHERUNG GMBH,35,35,dp_other,"EDAH SIERRA,EDDE SIERRA 1,EDDE SIERRA 2,EDDF SIERRA,EDDG SIERRA,EDDK SIERRA 1,EDDL SIERRA,EDDN SIERRA,EDDP SIERRA 1,EDDR SIERRA,EDDS SIERRA,EDDW SIERRA 1,EDDW SIERRA 2,EDFH SIERRA,EDFM SIERRA,EDHL SIERRA 1,EDHL SIERRA 2,EDJA SIERRA,EDLP SIERRA,EDLV SIERRA,EDLW SIERRA,EDMA SIERRA 1,EDMA SIERRA 2,EDNY SIERRA,EDQM SIERRA,EDSB SIERRA,EDTL SIERRA 1,EDTL SIERRA 2,EDVE SIERRA,EDVK SIERRA 1,EDVK SIERRA 2,EDXW SIERRA 1,EDXW SIERRA 2,EDDP SIERRA 2,EDDK SIERRA 2"
ARC01,NAV CANADA,34,34,dp_adhp,ARC01
ARC02,NAV CANADA,32,32,dp_adhp,ARC02
RW15,NAV CANADA,31,31,dp_adhp,RW15
RW14,NAV CANADA,30,30,dp_adhp,"RW14,RW15"
RW32,NAV CANADA,30,30,dp_adhp,RW32
RW11,NAV CANADA,29,29,dp_adhp,RW11
RW33,NAV CANADA,29,29,dp_adhp,"RW33,RW32"
