tablo,fid,code_id,data_originator,name,lat_dd,lon_dd,mid
dp_icao,1,AAA20,ENAV,BAU,42.0,12.0,400005822783999
dp_icao,2,AAA20,ENAV,CIAO,42.5,12.0,400005822784005
dp_icao,29,ABASA,EUROCONTROL NMOC,ABASA,24.439172222222222,123.25232222222222,800000882965915
dp_icao,116904,ABASA,EUROCONTROL NMOC,ABASA,-4.947777777777778,107.2611111111111,17865515
dp_icao,39,ABBEY,EUROCONTROL NMOC,ABBEY,22.26972222222222,114.92386666666667,101000694849849
dp_icao,116907,ABBEY,EUROCONTROL NMOC,ABBEY,-34.403055555555554,151.09472222222223,101002097815420
dp_icao,31336,ABLAN,EUROCONTROL NMOC,ABLAN,47.31361111111111,-1.4236111111111112,17833661
dp_icao,116910,ABLAN,EUROCONTROL NMOC,ABLAN,-22.809444444444445,14.592777777777778,400003465415790
dp_other,704,ABM,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,ABM CALINOG,11.14143611111111,122.49965555555556,400005119805192
dp_other,705,ABM,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,ABM LAKAWON,11.002302777777778,123.2007888888889,400005119805199
dp_icao,348,ABUMI,EUROCONTROL NMOC,ABUMI,65.95083333333334,111.51722222222222,562766901
dp_icao,349,ABUMI,EUROCONTROL NMOC,ABUMI,32.74498055555556,131.59251111111112,400001877869459
dp_icao,386,ACORD,EUROCONTROL NMOC,ACORD,25.602747222222224,128.53069444444446,101002348436897
dp_icao,31493,ACORD,EUROCONTROL NMOC,ACORD,48.79080833333333,-122.53295833333333,259236744
dp_icao,392,ACTOR,EUROCONTROL NMOC,ACTOR,35.45944444444445,139.84035555555556,1662244432
dp_icao,31520,ACTOR,EUROCONTROL NMOC,ACTOR,39.75575833333333,-104.5231111111111,101000746136905
dp_icao,445,ADDUM,EUROCONTROL NMOC,ADDUM,34.891525,140.23908055555555,1662231282
dp_icao,31594,ADDUM,EUROCONTROL NMOC,ADDUM,45.53162777777778,-122.45875277777778,101000746214425
dp_icao,561,ADMIS,EUROCONTROL NMOC,ADMIS,51.99681666666667,0.17654444444444445,17833760
dp_icao,116969,ADMIS,EUROCONTROL NMOC,ADMIS,-13.381111111111112,32.32083333333334,400003478005283
dp_icao,729,AGADA,EUROCONTROL NMOC,AGADA,70.20583333333333,108.19361111111111,17825593
dp_icao,31915,AGADA,EUROCONTROL NMOC,AGADA,18.730802777777775,-64.34054722222221,17844918
dp_icao,948,AILEY,EUROCONTROL NMOC,AILEY,33.23441666666667,132.6018222222222,800000377413241
dp_icao,32254,AILEY,EUROCONTROL NMOC,AILEY,32.297180555555556,-82.66820277777778,17872471
dp_icao,967,AKAGI,EUROCONTROL NMOC,AKAGI,36.39120277777778,139.69896666666668,17853292
dp_icao,968,AKAGI,EUROCONTROL NMOC,AKAGI,36.56666666666667,96.59166666666667,352003316
dp_icao,985,AKASE,EUROCONTROL NMOC,AKASE,30.009527777777777,130.32147777777777,400000481978830
dp_icao,32354,AKASE,EUROCONTROL NMOC,AKASE,32.05866111111111,-105.77406111111111,101003112445202
dp_icao,992,AKAYU,EUROCONTROL NMOC,AKAYU,38.068738888888895,139.76139166666667,400003010717427
dp_icao,32359,AKAYU,EUROCONTROL NMOC,AKAYU,43.980075,-73.40704722222223,259697225
dp_icao,1095,AKOMA,EUROCONTROL NMOC,AKOMA,34.69138888888889,114.75277777777778,17825698
dp_icao,1096,AKOMA,EUROCONTROL NMOC,AKOMA,1.7561111111111112,103.91194444444444,17865635
dp_icao,1168,ALAKA,EUROCONTROL NMOC,ALAKA,55.98722222222222,130.76944444444445,101002057137004
dp_icao,1169,ALAKA,EUROCONTROL NMOC,ALAKA,26.05683611111111,120.11486388888888,400003440562470
dp_icao,32587,ALCOT,EUROCONTROL NMOC,ALCOT,11.911416666666668,-69.26036111111111,17858465
dp_icao,32588,ALCOT,EUROCONTROL NMOC,ALCOT,34.174144444444444,-79.85254722222221,101000774535608
dp_icao,1202,ALDEL,EUROCONTROL NMOC,ALDEL,30.13888888888889,107.19083333333333,300000559649683
dp_icao,117153,ALDEL,EUROCONTROL NMOC,ALDEL,-25.47861111111111,118.1588888888889,800001463753401
dp_icao,1204,ALDEN,EUROCONTROL NMOC,ALDEN,34.861422222222224,140.25146944444444,400003343953017
dp_icao,32595,ALDEN,EUROCONTROL NMOC,ALDEN,43.09865833333333,-73.59981666666665,259678136
dp_other,1035,ALI,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,ALIMODIAN,10.787777777777778,122.43083333333334,400005119800080
dp_other,1036,ALI,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,ALIGUAY,8.745555555555555,123.22222222222223,400005555803383
dp_icao,32759,ALLEE,EUROCONTROL NMOC,ALLEE,33.80647222222222,-88.62385833333333,101000746159319
dp_icao,117164,ALLEE,EUROCONTROL NMOC,ALLEE,-13.030555555555557,131.49277777777777,248350610
dp_icao,1294,ALLEY,EUROCONTROL NMOC,ALLEY,21.086430555555555,113.78597222222223,1119440638
dp_icao,32762,ALLEY,EUROCONTROL NMOC,ALLEY,41.69898055555555,-71.39759166666667,259679262
dp_icao,1315,ALMUS,EUROCONTROL NMOC,ALMUS,40.774166666666666,36.66555555555556,92156996
dp_icao,32822,ALMUS,EUROCONTROL NMOC,ALMUS,18.476388888888888,-77.57444444444444,17844960
dp_icao,1398,ALTON,EUROCONTROL NMOC,ALTON,35.96194444444445,128.53722222222223,400005322487508
dp_icao,32980,ALTON,EUROCONTROL NMOC,ALTON,47.03191388888889,-114.428375,17872690
dp_icao,1443,AMARU,EUROCONTROL NMOC,AMARU,38.83304722222223,139.9023388888889,400000331221485
dp_icao,33099,AMARU,EUROCONTROL NMOC,AMARU,17.226388888888888,-89.58138888888888,105857995
dp_icao,1461,AMBOD,EUROCONTROL NMOC,AMBOD,13.565833333333334,48.2575,210189572
dp_icao,117185,AMBOD,EUROCONTROL NMOC,AMBOD,-17.378333333333334,55.5,17815273
dp_icao,1481,AMEDO,EUROCONTROL NMOC,AMEDO,64.79277777777777,49.33111111111111,400003668829436
dp_icao,33149,AMEDO,EUROCONTROL NMOC,AMEDO,55.38602777777778,-132.24000833333332,259671482
dp_icao,1516,AMIDA,EUROCONTROL NMOC,AMIDA,35.871541666666666,138.31780555555557,626108700
dp_icao,33191,AMIDA,EUROCONTROL NMOC,AMIDA,18.629444444444445,-87.30166666666666,17845014
dp_icao,1529,AMITY,EUROCONTROL NMOC,AMITY,35.97173611111111,140.25737222222222,800001262067864
dp_icao,117189,AMITY,EUROCONTROL NMOC,AMITY,-27.428333333333335,153.50722222222223,18560131
dp_other,1254,AMU,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,AMULUNG EAST,17.81222222222222,121.7286111111111,400005445698965
dp_other,1255,AMU,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,AMULUNG WEST,17.801111111111112,121.67083333333333,400005445698971
dp_icao,33330,AMULA,EUROCONTROL NMOC,AMULA,21.639166666666664,-103.67666666666668,17845029
dp_icao,33331,AMULA,EUROCONTROL NMOC,AMULA,12.830277777777777,-60.691111111111105,76782855
dp_icao,33419,ANDEE,EUROCONTROL NMOC,ANDEE,37.55336944444444,-120.72848888888889,101000746136158
dp_icao,117209,ANDEE,EUROCONTROL NMOC,ANDEE,-16.18277777777778,143.23555555555555,90322132
dp_icao,1726,ANEMO,EUROCONTROL NMOC,ANEMO,37.975972222222225,140.99731944444443,1293837136
dp_icao,33463,ANEMO,EUROCONTROL NMOC,ANEMO,26.450833333333332,-80.41166666666668,1449783419
dp_icao,33486,ANGEL,EUROCONTROL NMOC,ANGEL,14.334166666666667,-86.9375,17845053
