ident,data_originator,adet,farkli_koordinat,tablolar,isimler
TRN,EUROCONTROL NMOC,13,7,"vor_dme,dme","TURNBERRY,TEHRAN,TRANG,CAN THO,TERNATE/SULTAN BABULLAH,TONGREN,TALAKAN,TERNATE SULTAN BABULLAH"
MAK,EUROCONTROL NMOC,7,4,"vor_dme,dme","MARRAKECH / MENARA,MARSA ALAM,MAKASSAR/SULTAN HASANUDDIN,MAKU"
AND,EUROCONTROL NMOC,6,4,"vor_dme,dme","ANDAHUAYLAS,ANDONG,ANDOYA,TEPLYY KLYUCH"
CHI,EUROCONTROL NMOC,6,4,"vor_dme,dme","CHILLARKI,CHILLAN,CHANGHAI,CHIOGGIA"
DAR,EUROCONTROL NMOC,6,5,"vor_dme,dme,tacan","DARLOWO,DARBAND,DARKHAN,AROUCA,DARWIN"
LIN,EUROCONTROL NMOC,6,5,"vor_dme,dme","LINATE,LINDEN,LINLI,LININ"
PAL,EUROCONTROL NMOC,6,4,"vor_dme,dme","EL PALOMAR,PALU / MUTIARA SIS AL JUFRI,PALANQUERO,PALERMO/PUNTA RAISI"
RK,EUROCONTROL NMOC,6,4,"vor_dme,dme","RAHIM YAR KHAN,ROCKHAMPTON,SARATOV/GAGARIN,MARKOVO"
SAV,EUROCONTROL NMOC,6,4,"vortac,dme","SAVANNAKHET,SALINAS,SAVANNAH,SAVEH"
TD,EUROCONTROL NMOC,6,5,"vor_dme,dme","TAMBACOUNDA,TUNG LUNG,MOUNDOU,TRONDHEIM/VAERNES,TYNDA"
TNT,EUROCONTROL NMOC,6,6,"vor_dme,dme,tacan","TRENT,TONCONTIN,TRENTO,TACHIKAWA"
BNA,EUROCONTROL NMOC,5,3,"vor_dme,dme","BENINA,BANAK,BARCELONA"
BND,EUROCONTROL NMOC,5,4,"vor_dme,dme,tacan","BANDUNG/HUSEIN SASTRANEGARA,BANDAR ABBASS,BREMEN"
BPN,EUROCONTROL NMOC,5,3,"vor_dme,dme","BOPAN,BALIKPAPAN/SULTAN AJI MUHAMMAD SULAIMAN SEPINGGAN,BARAPANI"
BRT,EUROCONTROL NMOC,5,3,"vor_dme,dme","BRATSK,BIRATNAGAR,BREST"
BTO,EUROCONTROL NMOC,5,3,"vor_dme,dme","POTOU,BONITO,TANGERANG/BUDIARTO"
CMP,EUROCONTROL NMOC,5,4,"vor_dme,dme","CAMPAGNANO,CHUM PHAE,CZEMPIN"
GNV,EUROCONTROL NMOC,5,3,"vortac,dme","GATORS,GELENDZHIK,GOIANIA"
GV,EUROCONTROL NMOC,5,3,"vor_dme,dme","NGONG HILLS,GOVE,SURGUT"
KA,EUROCONTROL NMOC,5,5,"vor_dme,dme","KARRATHA,KASESE,KASTRUP,YAROSLAVL/TUNOSHNA"
KHG,EUROCONTROL NMOC,5,3,"vor_dme,dme","EL KHARGA,KASHI,KHARK ISLAND"
KLP,EUROCONTROL NMOC,5,3,"vor_dme,dme","KOLPASHEVO,KOLHAPUR,KLAIPEDA"
LM,EUROCONTROL NMOC,5,4,"vor_dme,dme","LAJES,LOME / GNASSINGBE EYADEMA,LEARMONTH,CHAPAYEVO"
LON,EUROCONTROL NMOC,5,3,"vor_dme,dme","LONDON,LONDRINA,LONGZHOU"
SAM,EUROCONTROL NMOC,5,3,"vor_dme,dme","SOUTHAMPTON,SAMOS,SAMPLA"
SNT,EUROCONTROL NMOC,5,4,"vor_dme,dme","PRAIA,PORTO SANTO,SAN ANTONIO DE ARECO"
STN,EUROCONTROL NMOC,5,3,"vor_dme,dme","STORNOWAY,SURAT THANI,SANTANA"
STW,EUROCONTROL NMOC,5,3,"vor_dme,dme","STILLWATER,SITTWE,STAVROPOL/SHPAKOVSKOYE"
SUR,EUROCONTROL NMOC,5,3,"vor_dme,dme","SUR,SUCRE,SURAT"
TBK,EUROCONTROL NMOC,5,3,"vortac,dme","TABARKA/AIN DRAHAM,TABUK / PRINCE SULTAN BIN ABDULAZIZ,TAMBOLAKA / LEDE KALUMBANG"
TGU,EUROCONTROL NMOC,5,3,"vortac,dme","TOUGGOURT,DALSEONG,TAUNGOO"
THX,EUROCONTROL NMOC,5,3,"vortac,dme","THREE RIVERS,XIENGKHUANG,THO XUAN"
AAR,EUROCONTROL NMOC,4,3,"vor_dme,dme","AMRITSAR,ARAR,AARHUS"
AD,EUROCONTROL NMOC,4,3,"vor_dme,dme","ABIDJAN / FELIX HOUPHOUET-BOIGNY,ADELAIDE,SANDANE/ANDA"
ALI,EUROCONTROL NMOC,4,3,"vor_dme,dme","ALICE,ALIGARH,AL NAJAF"
BAR,EUROCONTROL NMOC,4,4,"vor_dme,dme,tacan","SAN CARLOS DE BARILOCHE,BARI,BARUUN-URT,BARDUFOSS"
BEL,EUROCONTROL NMOC,4,3,"vor_dme,dme","BELFAST,BELEM,BELLA"
BNN,EUROCONTROL NMOC,4,3,"vor_dme,dme","BOVINGDON,BRONNOY,XISHUANGBANNA"
BRM,EUROCONTROL NMOC,4,3,"vor_dme,dme","BURI RAM,BARQUISIMETO,BROOME"
BT,EUROCONTROL NMOC,4,4,"vor,dme","BERBERATI,BATSFJORD,BUTURLINO,ALATYR"
BW,EUROCONTROL NMOC,4,4,dme,"CESKE BUDEJOVICE DME 27,BALAKOVO,VUKTYL,BERINGOVSKIY"
CAR,EUROCONTROL NMOC,4,3,"vor_dme,dme","CONCEPCION,CARNARVON,CARBONARA"
CBA,EUROCONTROL NMOC,4,3,"vor_dme,dme","CORDOBA / ING. A. TARABELLA,COCHABAMBA,CASABLANCA / MOHAMED V"
DMN,EUROCONTROL NMOC,4,3,"vortac,dme","DEMING,DAMAN,MUENCHEN"
HAM,EUROCONTROL NMOC,4,3,"vor_dme,dme","HAMADAN,HAMBURG,TAOJIAGONG"
IAL,EUROCONTROL NMOC,4,3,"ils_loc,ils_gp,ils_dme,dme",DME 10 SGA
IAR,EUROCONTROL NMOC,4,3,"ils_loc,ils_gp,ils_dme,dme",AKUREYRI RWY 19
IKO,EUROCONTROL NMOC,4,3,"ils_loc,ils_gp,ils_dme,dme",KOSTINO
IRK,EUROCONTROL NMOC,4,4,"ils_loc,ils_gp,ils_dme,vortac",KIRKSVILLE
KAD,EUROCONTROL NMOC,4,3,"vortac,dme","KALDE,KADENA,KADIS"
KRD,EUROCONTROL NMOC,4,3,"vor_dme,dme","KHORAM ABAD,KALININGRAD/KHRABROVO,KARDLA"
KRS,EUROCONTROL NMOC,4,3,"vor_dme,dme","KRASNOYARSK,TURKMENBASHI,KURESSAARE"
KTG,EUROCONTROL NMOC,4,3,"vor_dme,dme","KENG TUNG,KETAPANG/RAHADI OESMAN,HENGCHUN"
KU,EUROCONTROL NMOC,4,4,"vor_dme,dme","KUNUNURRA,SKURATOVO,BIYSK,KURGAN"
LAM,EUROCONTROL NMOC,4,3,"vor_dme,dme","LAMBOURNE,LAMERD,LAMEZIA"
LAP,EUROCONTROL NMOC,4,3,"vor_dme,dme","LA PAZ,LAPA,LA PRAZ"
LBN,EUROCONTROL NMOC,4,3,"vor_dme,dme","CHELYABINSK/BALANDINO,LAIBIN,TRAKSHI"
LT,SERVICE DE LINFORMATION AERONAUTIQUE,4,4,"ils_loc,ils_gp,ils_dme,dme",NOUMEA LA TONTOUTA
MLD,EUROCONTROL NMOC,4,3,"vor_dme,dme","MALINDI,MALAD CITY,MOLDAVA"
MRB,EUROCONTROL NMOC,4,3,"vortac,dme","MARABA,MARTINSBURG,MURGAB"
MTG,EUROCONTROL NMOC,4,3,"vor_dme,dme","MITIGA,MOUNT GAMBIER,MARTIGUES"
NA,EUROCONTROL NMOC,4,3,"vor_dme,dme","NAUSORI,NIKOLAYEVSK-NA-AMURE,NAMSOS"
PG,EUROCONTROL NMOC,4,3,"vor_dme,dme","PORT GENTIL,PANJGUR,PRAHA/RUZYNE DME 30"
PRT,EUROCONTROL NMOC,4,4,"vor_dme,dme","PORTO,PRISTINA,PERETOLA"
PT,SERVICE DE LINFORMATION AERONAUTIQUE,4,4,"ils_loc,ils_gp,ils_dme,dme",
RAV,EUROCONTROL NMOC,4,3,"vortac,dme","RAS AL KHAIMAH,RAVINE,RAND"
ROS,EUROCONTROL NMOC,4,3,"vor_dme,dme","ROSARIO,ROSTOV-NA-DONU/PLATOV,ROTTERDAM/ROTTERDAM"
SL,EUROCONTROL NMOC,4,4,dme,"STAVANGER/SOLA,LINKOEPING/SAAB,SUKHODOL,SREDNEBELAYA"
SPA,EUROCONTROL NMOC,4,4,"vortac,dme,tacan","SPARTANBURG,SLEIPNER A,LULEA,SPANGDAHLEM"
TCL,EUROCONTROL NMOC,4,3,"vortac,dme","TUSCALOOSA,TACHILEIK,TOSONTSENGEL"
TU,EUROCONTROL NMOC,4,3,"vor_dme,dme","TOLIARY,TURBAT,TURKU"
VSA,EUROCONTROL NMOC,4,3,"vor_dme,dme","VILLAHERMOSA,SAURIMO,VITORIA DE SANTO ANTAO"
ABA,EUROCONTROL NMOC,3,3,"vor_dme,dme","ARUBA,AMSTERDAM/SCHIPHOL,ALBANY"
