ident,data_originator,type,adet,farkli_koordinat,tablolar,isimler
TRN,EUROCONTROL NMOC,VOR DME,7,7,vor_dme,"TURNBERRY,TEHRAN,TRANG,CAN THO,TERNATE/SULTAN BABULLAH,TONGREN,TALAKAN"
TRN,EUROCONTROL NMOC,DME,6,6,dme,"TERNATE SULTAN BABULLAH,TEHRAN,TALAKAN,TRANG,TURNBERRY,CAN THO"
AND,EUROCONTROL NMOC,VOR DME,4,4,vor_dme,"ANDAHUAYLAS,ANDONG,ANDOYA,TEPLYY KLYUCH"
BW,EUROCONTROL NMOC,DME,4,4,dme,"CESKE BUDEJOVICE DME 27,BALAKOVO,VUKTYL,BERINGOVSKIY"
MAK,EUROCONTROL NMOC,VOR DME,4,4,vor_dme,"MARRAKECH / MENARA,MARSA ALAM,MAKASSAR/SULTAN HASANUDDIN,MAKU"
SL,EUROCONTROL NMOC,DME,4,4,dme,"STAVANGER/SOLA,LINKOEPING/SAAB,SUKHODOL,SREDNEBELAYA"
ALI,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"ALICE,ALIGARH,AL NAJAF"
BG,EUROCONTROL NMOC,DME,3,3,dme,"BERGEN/FLESLAND,BOGORODSKOYE,BELAYA GORA"
BNA,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"BENINA,BANAK,BARCELONA"
BNN,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"BOVINGDON,BRONNOY,XISHUANGBANNA"
BPN,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"BOPAN,BALIKPAPAN/SULTAN AJI MUHAMMAD SULAIMAN SEPINGGAN,BARAPANI"
BRT,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"BRATSK,BIRATNAGAR,BREST"
BT,EUROCONTROL NMOC,DME,3,3,dme,"BATSFJORD,BUTURLINO,ALATYR"
BTO,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"POTOU,BONITO,TANGERANG/BUDIARTO"
CHI,EUROCONTROL NMOC,DME,3,3,dme,"CHANGHAI,CHIOGGIA,CHILLARKI"
CHI,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"CHILLARKI,CHILLAN,CHANGHAI"
CMP,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"CAMPAGNANO,CHUM PHAE,CZEMPIN"
DAR,EUROCONTROL NMOC,DME,3,3,dme,"DARKHAN,DARLOWO,AROUCA"
GNV,EUROCONTROL NMOC,VORTAC,3,3,vortac,"GATORS,GELENDZHIK,GOIANIA"
GV,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"NGONG HILLS,GOVE,SURGUT"
HAM,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"HAMADAN,HAMBURG,TAOJIAGONG"
KA,EUROCONTROL NMOC,DME,3,3,dme,"KASTRUP,YAROSLAVL/TUNOSHNA,KASESE"
KE,EUROCONTROL NMOC,DME,3,3,dme,"KEMI-TORNIO,KEDROVY,KOSICE"
KHG,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"EL KHARGA,KASHI,KHARK ISLAND"
KLP,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"KOLPASHEVO,KOLHAPUR,KLAIPEDA"
KU,EUROCONTROL NMOC,DME,3,3,dme,"SKURATOVO,BIYSK,KURGAN"
LIN,EUROCONTROL NMOC,DME,3,3,dme,"LINATE,LININ,LINDEN"
LIN,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"LINATE,LINDEN,LINLI"
LM,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"LAJES,LOME / GNASSINGBE EYADEMA,LEARMONTH"
LON,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"LONDON,LONDRINA,LONGZHOU"
MAK,EUROCONTROL NMOC,DME,3,3,dme,"MAKASSAR/SULTAN HASANUDDIN,MAKU,MARRAKECH / MENARA"
MTG,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"MITIGA,MOUNT GAMBIER,MARTIGUES"
PAL,EUROCONTROL NMOC,DME,3,3,dme,"PALANQUERO,PALERMO/PUNTA RAISI,PALU / MUTIARA SIS AL JUFRI"
PAL,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"EL PALOMAR,PALU / MUTIARA SIS AL JUFRI,PALANQUERO"
RK,EUROCONTROL NMOC,DME,3,3,dme,"RAHIM YAR KHAN,SARATOV/GAGARIN,MARKOVO"
RK,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"RAHIM YAR KHAN,ROCKHAMPTON,SARATOV/GAGARIN"
SAM,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"SOUTHAMPTON,SAMOS,SAMPLA"
SAV,EUROCONTROL NMOC,DME,3,3,dme,"SALINAS,SAVEH,SAVANNAKHET"
SAV,EUROCONTROL NMOC,VORTAC,3,3,vortac,"SAVANNAKHET,SALINAS,SAVANNAH"
SNT,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"PRAIA,PORTO SANTO,SAN ANTONIO DE ARECO"
STN,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"STORNOWAY,SURAT THANI,SANTANA"
STW,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"STILLWATER,SITTWE,STAVROPOL/SHPAKOVSKOYE"
SUR,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"SUR,SUCRE,SURAT"
TBK,EUROCONTROL NMOC,VORTAC,3,3,vortac,"TABARKA/AIN DRAHAM,TABUK / PRINCE SULTAN BIN ABDULAZIZ,TAMBOLAKA / LEDE KALUMBANG"
TD,EUROCONTROL NMOC,DME,3,3,dme,"TRONDHEIM/VAERNES,TUNG LUNG,TYNDA"
TD,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"TAMBACOUNDA,TUNG LUNG,MOUNDOU"
TGU,EUROCONTROL NMOC,VORTAC,3,3,vortac,"TOUGGOURT,DALSEONG,TAUNGOO"
THX,EUROCONTROL NMOC,VORTAC,3,3,vortac,"THREE RIVERS,XIENGKHUANG,THO XUAN"
TNT,EUROCONTROL NMOC,VOR DME,3,3,vor_dme,"TRENT,TONCONTIN,TRENTO"
AAR,EUROCONTROL NMOC,DME,2,2,dme,"AARHUS,ARAR"
AAR,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"AMRITSAR,ARAR"
ABA,EUROCONTROL NMOC,DME,2,2,dme,"AMSTERDAM/SCHIPHOL,ALBANY"
ABD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ABADAN,MALANG / ABDUL RACHMAN SALEH"
AD,EUROCONTROL NMOC,DME,2,2,dme,"SANDANE/ANDA,ABIDJAN / FELIX HOUPHOUET-BOIGNY"
AD,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ABIDJAN / FELIX HOUPHOUET-BOIGNY,ADELAIDE"
ADM,EUROCONTROL NMOC,VORTAC,2,2,vortac,"AGADIR / AL MASSIRA,ARDMORE"
ADN,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ABERDEEN,ROBERTO"
ALB,EUROCONTROL NMOC,VOR DME,2,2,vor_dme,"ALBENGA,ABU DHABI / AL BATEEN"
